player_name,Season,Squad,Comp,MP,Gls,Ast,G+A
Bart Verbruggen,2019-2020,NAC Breda,2. Eerste Divisie,0,NA,NA,NA
Bart Verbruggen,2020-2021,Anderlecht,1. First Division A,0,NA,NA,NA
Bart Verbruggen,2021-2022,Anderlecht,1. First Division A,0,NA,NA,NA
Bart Verbruggen,2022-2023,Anderlecht,3. Conf Lg,6,0,0,0
Bart Verbruggen,2022-2023,Anderlecht,1. Pro League A,17,0,0,0
Bart Verbruggen,2022-2023,RSCA Futures,2. Pro League B,13,0,0,0
Bart Verbruggen,2023-2024,Brighton,EFL Cup,1,0,0,0
Bart Verbruggen,2023-2024,Brighton,2. Europa Lg,3,0,0,0
Bart Verbruggen,2023-2024,Brighton,FA Cup,2,0,0,0
Bart Verbruggen,2023-2024,Brighton,1. Premier League,21,0,0,0
Bart Verbruggen,2024-2025,Brighton,EFL Cup,1,0,0,0
Bart Verbruggen,2024-2025,Brighton,FA Cup,3,0,0,0
Bart Verbruggen,2024-2025,Brighton,1. Premier League,31,0,1,1
Jan Paul van Hecke,2018-2019,NAC Breda,1. Eredivisie,0,NA,NA,NA
Jan Paul van Hecke,2019-2020,NAC Breda,2. Eerste Divisie,11,3,1,4
Jan Paul van Hecke,2020-2021,Heerenveen,1. Eredivisie,28,1,1,2
Jan Paul van Hecke,2021-2022,Blackburn,2. Championship,31,1,1,2
Jan Paul van Hecke,2021-2022,Blackburn,FA Cup,1,0,0,0
Jan Paul van Hecke,2022-2023,Brighton,EFL Cup,1,0,0,0
Jan Paul van Hecke,2022-2023,Brighton,FA Cup,4,0,0,0
Jan Paul van Hecke,2022-2023,Brighton,Jr. PL2 — Div. 1,2,0,0,0
Jan Paul van Hecke,2022-2023,Brighton,1. Premier League,8,0,0,0
Jan Paul van Hecke,2023-2024,Brighton,EFL Cup,1,0,0,0
Jan Paul van Hecke,2023-2024,Brighton,2. Europa Lg,7,0,0,0
Jan Paul van Hecke,2023-2024,Brighton,FA Cup,3,0,2,2
Jan Paul van Hecke,2023-2024,Brighton,1. Premier League,28,0,0,0
Jan Paul van Hecke,2024-2025,Brighton,EFL Cup,1,0,0,0
Jan Paul van Hecke,2024-2025,Brighton,FA Cup,4,0,0,0
Jan Paul van Hecke,2024-2025,Brighton,1. Premier League,30,1,1,2
Kaoru Mitoma,2020,Kawa Frontale,1. J1 League,30,13,12,25
Kaoru Mitoma,2021,Kawa Frontale,1. J1 League,20,8,3,11
Kaoru Mitoma,2021-2022,Union SG,1. First Division A,21,5,3,8
Kaoru Mitoma,2022-2023,Brighton,EFL Cup,3,1,0,1
Kaoru Mitoma,2022-2023,Brighton,FA Cup,5,2,2,4
Kaoru Mitoma,2022-2023,Brighton,1. Premier League,33,7,5,12
Kaoru Mitoma,2023-2024,Brighton,EFL Cup,1,0,0,0
Kaoru Mitoma,2023-2024,Brighton,2. Europa Lg,6,0,2,2
Kaoru Mitoma,2023-2024,Brighton,1. Premier League,19,3,4,7
Kaoru Mitoma,2024-2025,Brighton,EFL Cup,1,0,0,0
Kaoru Mitoma,2024-2025,Brighton,FA Cup,4,1,0,1
Kaoru Mitoma,2024-2025,Brighton,1. Premier League,32,8,3,11
Carlos Baleba,2021-2022,Lille,1. Ligue 1,0,NA,NA,NA
Carlos Baleba,2022-2023,Lille,Coupe de France,2,0,0,0
Carlos Baleba,2022-2023,Lille,1. Ligue 1,19,0,0,0
Carlos Baleba,2023-2024,Brighton,EFL Cup,1,0,0,0
Carlos Baleba,2023-2024,Brighton,2. Europa Lg,6,0,0,0
