"","Opponent","Home","Away"
"1","Arsenal","D","D"
"2","Aston Villa","L","D"
"3","Bournemouth","W","W"
"4","Brentford","D","L"
"5","Chelsea","W","L"
"6","Crystal Palace","L","L"
"7","Everton","L","W"
"8","Fulham","W","L"
"9","Ipswich Town","D","W"
"10","Leicester City","D","D"
"11","Liverpool","TBD","L"
"12","Manchester City","W","D"
"13","Manchester Utd","W","W"
"14","Newcastle Utd","TBD","W"
"15","Nott'ham Forest","D","L"
"16","Southampton","D","W"
"17","Tottenham","W","TBD"
"18","West Ham","W","D"
"19","Wolves","D","TBD"
