Date,Opponent,Comp,Round,Venue,Result,GF,GA,xG,xGA,GD
2024-08-17,Everton,Premier League,Matchweek 1,Away,W,3,0,1.4,0.5,3
2024-08-24,Manchester Utd,Premier League,Matchweek 2,Home,W,2,1,2.1,1.4,1
2024-08-31,Arsenal,Premier League,Matchweek 3,Away,D,1,1,1.7,2.1,0
2024-09-14,Ipswich Town,Premier League,Matchweek 4,Home,D,0,0,1.6,0.3,0
2024-09-22,Nott'ham Forest,Premier League,Matchweek 5,Home,D,2,2,1,1.4,0
2024-09-28,Chelsea,Premier League,Matchweek 6,Away,L,2,4,1.1,4.2,-2
2024-10-06,Tottenham,Premier League,Matchweek 7,Home,W,3,2,1.8,1.3,1
2024-10-19,Newcastle Utd,Premier League,Matchweek 8,Away,W,1,0,1.1,2,1
2024-10-26,Wolves,Premier League,Matchweek 9,Home,D,2,2,1.3,1.3,0
2024-11-02,Liverpool,Premier League,Matchweek 10,Away,L,1,2,1,1.6,-1
2024-11-09,Manchester City,Premier League,Matchweek 11,Home,W,2,1,2.3,2.1,1
2024-11-23,Bournemouth,Premier League,Matchweek 12,Away,W,2,1,0.9,1.6,1
2024-11-29,Southampton,Premier League,Matchweek 13,Home,D,1,1,1.7,1,0
2024-12-05,Fulham,Premier League,Matchweek 14,Away,L,1,3,1.4,1.1,-2
2024-12-08,Leicester City,Premier League,Matchweek 15,Away,D,2,2,1.5,1.3,0
2024-12-15,Crystal Palace,Premier League,Matchweek 16,Home,L,1,3,1,2.2,-2
2024-12-21,West Ham,Premier League,Matchweek 17,Away,D,1,1,0.9,1.2,0
2024-12-27,Brentford,Premier League,Matchweek 18,Home,D,0,0,1.3,1.1,0
2024-12-30,Aston Villa,Premier League,Matchweek 19,Away,D,2,2,1.1,1.8,0
2025-01-04,Arsenal,Premier League,Matchweek 20,Home,D,1,1,1.5,0.9,0
2025-01-16,Ipswich Town,Premier League,Matchweek 21,Away,W,2,0,1,0.3,2
2025-01-19,Manchester Utd,Premier League,Matchweek 22,Away,W,3,1,1.9,1.5,2
2025-01-25,Everton,Premier League,Matchweek 23,Home,L,0,1,0.7,0.8,-1
2025-02-01,Nott'ham Forest,Premier League,Matchweek 24,Away,L,0,7,0.9,3.3,-7
2025-02-14,Chelsea,Premier League,Matchweek 25,Home,W,3,0,1.4,0.5,3
2025-02-22,Southampton,Premier League,Matchweek 26,Away,W,4,0,3.9,0.1,4
2025-02-25,Bournemouth,Premier League,Matchweek 27,Home,W,2,1,2.4,1.5,1
2025-03-08,Fulham,Premier League,Matchweek 28,Home,W,2,1,1.5,0.9,1
2025-03-15,Manchester City,Premier League,Matchweek 29,Away,D,2,2,2,1.7,0
2025-04-02,Aston Villa,Premier League,Matchweek 30,Home,L,0,3,0.9,1.2,-3
2025-04-05,Crystal Palace,Premier League,Matchweek 31,Away,L,1,2,1,0.6,-1
2025-04-12,Leicester City,Premier League,Matchweek 32,Home,D,2,2,3.8,1.5,0
2025-04-19,Brentford,Premier League,Matchweek 33,Away,L,2,4,1.4,2.1,-2
2025-04-26,West Ham,Premier League,Matchweek 34,Home,W,3,2,1.4,1.2,1
